from,to,count,
PARCELLES ASSAINIES,WACK NGOUNA,6,No
PARCELLES ASSAINIES,MEDINA SABAKH,5,No
PARCELLES ASSAINIES,GNIBY,0,No
PARCELLES ASSAINIES,DAROU MINAME II,1,No
PARCELLES ASSAINIES,KATAKELKEUR MBOUCKI,2,No
PARCELLES ASSAINIES,KEUR MBOUCKI,1,No
PARCELLES ASSAINIES,SAGNA,0,No
PARCELLES ASSAINIES,IDA MOURIDE,1,No
PARCELLES ASSAINIES,MISSIRAH WADENE,0,No
PARCELLES ASSAINIES,LOUR ESCALE,0,No
PARCELLES ASSAINIES,MABO,3,No
PARCELLES ASSAINIES,MBANE,1,No
PARCELLES ASSAINIES,SALDE,1,No
PARCELLES ASSAINIES,NDIAYE MBERESS,7,No
PARCELLES ASSAINIES,GAMADJI SARRE,0,No
PARCELLES ASSAINIES,CAS CAS,2,No
PARCELLES ASSAINIES,RAO,11,No
PARCELLES ASSAINIES,THILE BOUBACAR,2,No
PARCELLES ASSAINIES,FAFACOUROU,0,No
PARCELLES ASSAINIES,MAMPATIM,0,No
PARCELLES ASSAINIES,NDORNA,0,No
PARCELLES ASSAINIES,BONCONTO,1,No
PARCELLES ASSAINIES,NIAMING,1,No
PARCELLES ASSAINIES,DIOULACOLON,1,No
PARCELLES ASSAINIES,SARE COLY SALE,2,No
PARCELLES ASSAINIES,PAKOUR,1,No
PARCELLES ASSAINIES,SARE BIDJI,5,No
PARCELLES ASSAINIES,DJIBANAR,2,No
PARCELLES ASSAINIES,DJIREDJI,2,No
PARCELLES ASSAINIES,DIAROUME,3,No
PARCELLES ASSAINIES,BONA,6,No
PARCELLES ASSAINIES,KARANTABA,0,No
PARCELLES ASSAINIES,DIENDE,6,No
PARCELLES ASSAINIES,BOGHAL,4,No
PARCELLES ASSAINIES,SIMBANDI BRASSOU,1,No
PARCELLES ASSAINIES,DJIBABOUYA,5,No
PARCELLES ASSAINIES,CABROUSSE,0,No
PARCELLES ASSAINIES,LOUDIA OUOLOF,1,No
PARCELLES ASSAINIES,SINDIAN,1,No
PARCELLES ASSAINIES,TENGHORY,6,No
PARCELLES ASSAINIES,KATABA I,1,No
PARCELLES ASSAINIES,TENDOUCK,2,No
PARCELLES ASSAINIES,NYASSIA,0,No
PARCELLES ASSAINIES,NIAGUIS,24,No
PARCELLES ASSAINIES,BANDAFASSI,2,No
PARCELLES ASSAINIES,BEMBOU,1,No
PARCELLES ASSAINIES,DAKATELY,0,No
PARCELLES ASSAINIES,DAR SALAM,0,No
PARCELLES ASSAINIES,FONGOLIMBI,0,No
PARCELLES ASSAINIES,SABODALA,0,No
PARCELLES ASSAINIES,KOUSSANAR,2,No
PARCELLES ASSAINIES,MISSIRAH,0,No
PARCELLES ASSAINIES,MAKACOULIBANTANG,1,No
PARCELLES ASSAINIES,KOUTHIABA OUOLOF,0,No
PARCELLES ASSAINIES,BAMBA NDIAYENE,0,No
PARCELLES ASSAINIES,KOULOR,0,No
PARCELLES ASSAINIES,DIANKE MAKHA,1,No
PARCELLES ASSAINIES,BALA,1,No
PARCELLES ASSAINIES,BOYNGUEL BAMBA,2,No
PARCELLES ASSAINIES,MOUDERY,5,No
PARCELLES ASSAINIES,KENIEBA,0,No
PARCELLES ASSAINIES,BELE,3,No
PARCELLES ASSAINIES,OGO,4,No
PARCELLES ASSAINIES,AGNAM CIVOL,2,No
PARCELLES ASSAINIES,VELINGARA,0,No
PARCELLES ASSAINIES,ORKADIERE,6,No
PARCELLES ASSAINIES,OURO SIDY,3,No
ALMADIES,PARCELLES ASSAINIES,191,No
ALMADIES,GRAND DAKAR,170,No
ALMADIES,DAKAR PLATEAU,163,No
ALMADIES,GUEDIAWAYE,49,No
ALMADIES,PIKINE DAGOUDANE,23,No
ALMADIES,THIAROYE,39,No
ALMADIES,NIAYES,43,No
ALMADIES,RUFISQUE,10,No
ALMADIES,BAMBILOR,32,No
ALMADIES,KEUR MOUSSA,1,No
ALMADIES,SINDIA,31,No
ALMADIES,NOTTO,0,No
ALMADIES,THIENABA,1,No
ALMADIES,PAMBAL,5,No
ALMADIES,MEOUANE,5,No
ALMADIES,MERINA DAKHAR,0,No
ALMADIES,NIAKHENE,0,No
ALMADIES,THIES SUD,13,No
ALMADIES,THIES NORD,4,No
ALMADIES,FISSEL,0,No
ALMADIES,SESSENE,2,No
ALMADIES,TAIF,0,No
ALMADIES,KAEL,0,No
ALMADIES,NDAME,22,No
ALMADIES,NDOULO,4,No
ALMADIES,NDINDY,0,No
ALMADIES,NGOYE,2,No
ALMADIES,LAMBAYE,0,No
ALMADIES,BABA GARAGE,0,No
ALMADIES,COLOBANE,0,No
ALMADIES,NIAKHAR,0,No
ALMADIES,TATTAGUINE,6,No
ALMADIES,OUADIOUR,0,No
ALMADIES,NDIOB,1,No
ALMADIES,FIMELA,0,No
ALMADIES,NIODIOR,0,No
ALMADIES,TOUBACOUTA,0,No
ALMADIES,DJILOR,0,No
ALMADIES,SAKAL,3,No
ALMADIES,MEUR MOMAR SARR,0,No
ALMADIES,MBEDIENE,3,No
ALMADIES,COKI,0,No
ALMADIES,SAGATTA GUETH I,0,No
ALMADIES,SAGATTA GUETH II,1,No
ALMADIES,DAROU MOUSTY,1,No
ALMADIES,SAGATTA DJOLOF,1,No
ALMADIES,YANG YANG,0,No
ALMADIES,DODJI,1,No
ALMADIES,BARKEDJI,0,No
ALMADIES,MBADAKHOUNE,0,No
ALMADIES,NGUELOU,0,No
ALMADIES,NGOTHIE,1,No
ALMADIES,KOUMBAL,6,No
ALMADIES,NDIEDIENG,1,No
ALMADIES,PAOS KOTO,3,No
ALMADIES,WACK NGOUNA,1,No
ALMADIES,MEDINA SABAKH,1,No
ALMADIES,GNIBY,1,No
ALMADIES,DAROU MINAME II,0,No
ALMADIES,KATAKELKEUR MBOUCKI,1,No
ALMADIES,KEUR MBOUCKI,0,No
ALMADIES,SAGNA,0,No
ALMADIES,IDA MOURIDE,1,No
ALMADIES,MISSIRAH WADENE,0,No
ALMADIES,LOUR ESCALE,0,No
ALMADIES,MABO,0,No
ALMADIES,MBANE,3,No
ALMADIES,SALDE,1,No
ALMADIES,NDIAYE MBERESS,1,No
ALMADIES,GAMADJI SARRE,2,No
ALMADIES,CAS CAS,1,No
ALMADIES,RAO,12,No
ALMADIES,THILE BOUBACAR,0,No
ALMADIES,FAFACOUROU,0,No
ALMADIES,MAMPATIM,0,No
ALMADIES,NDORNA,0,No
ALMADIES,BONCONTO,29,No
ALMADIES,NIAMING,0,No
ALMADIES,DIOULACOLON,0,No
ALMADIES,SARE COLY SALE,1,No
ALMADIES,PAKOUR,0,No
ALMADIES,SARE BIDJI,3,No
ALMADIES,DJIBANAR,3,No
ALMADIES,DJIREDJI,0,No
ALMADIES,DIAROUME,0,No
ALMADIES,BONA,3,No
ALMADIES,KARANTABA,0,No
ALMADIES,DIENDE,1,No
ALMADIES,BOGHAL,0,No
ALMADIES,SIMBANDI BRASSOU,1,No
ALMADIES,DJIBABOUYA,0,No
ALMADIES,CABROUSSE,2,No
ALMADIES,LOUDIA OUOLOF,2,No
ALMADIES,SINDIAN,0,No
ALMADIES,TENGHORY,5,No
ALMADIES,KATABA I,0,No
ALMADIES,TENDOUCK,0,No
ALMADIES,NYASSIA,0,No
ALMADIES,NIAGUIS,6,No
ALMADIES,BANDAFASSI,0,No
ALMADIES,BEMBOU,1,No
ALMADIES,DAKATELY,0,No
ALMADIES,DAR SALAM,0,No
ALMADIES,FONGOLIMBI,0,No
ALMADIES,SABODALA,0,No
ALMADIES,KOUSSANAR,9,No
ALMADIES,MISSIRAH,2,No
ALMADIES,MAKACOULIBANTANG,1,No
ALMADIES,KOUTHIABA OUOLOF,0,No
ALMADIES,BAMBA NDIAYENE,1,No
ALMADIES,KOULOR,0,No
ALMADIES,DIANKE MAKHA,0,No
ALMADIES,BALA,0,No
ALMADIES,BOYNGUEL BAMBA,0,No
ALMADIES,MOUDERY,1,No
ALMADIES,KENIEBA,0,No
ALMADIES,BELE,1,No
ALMADIES,OGO,4,No
ALMADIES,AGNAM CIVOL,1,No
ALMADIES,VELINGARA,1,No
ALMADIES,ORKADIERE,0,No
ALMADIES,OURO SIDY,2,No
GRAND DAKAR,PARCELLES ASSAINIES,206,No
GRAND DAKAR,ALMADIES,148,No
GRAND DAKAR,DAKAR PLATEAU,228,No
GRAND DAKAR,GUEDIAWAYE,59,No
GRAND DAKAR,PIKINE DAGOUDANE,82,No
GRAND DAKAR,THIAROYE,62,No
GRAND DAKAR,NIAYES,67,No
GRAND DAKAR,RUFISQUE,19,No
GRAND DAKAR,BAMBILOR,17,No
GRAND DAKAR,KEUR MOUSSA,7,No
GRAND DAKAR,SINDIA,17,No
GRAND DAKAR,NOTTO,1,No
GRAND DAKAR,THIENABA,4,No
GRAND DAKAR,PAMBAL,12,No
GRAND DAKAR,MEOUANE,5,No
GRAND DAKAR,MERINA DAKHAR,0,No
GRAND DAKAR,NIAKHENE,0,No
GRAND DAKAR,THIES SUD,14,No
GRAND DAKAR,THIES NORD,3,No
GRAND DAKAR,FISSEL,0,No
GRAND DAKAR,SESSENE,8,No
GRAND DAKAR,TAIF,0,No
GRAND DAKAR,KAEL,0,No
GRAND DAKAR,NDAME,47,No
GRAND DAKAR,NDOULO,8,No
GRAND DAKAR,NDINDY,1,No
GRAND DAKAR,NGOYE,6,No
GRAND DAKAR,LAMBAYE,1,No
GRAND DAKAR,BABA GARAGE,1,No
GRAND DAKAR,COLOBANE,0,No
GRAND DAKAR,NIAKHAR,8,No
GRAND DAKAR,TATTAGUINE,3,No
GRAND DAKAR,OUADIOUR,0,No
GRAND DAKAR,NDIOB,4,No
GRAND DAKAR,FIMELA,1,No
GRAND DAKAR,NIODIOR,0,No
GRAND DAKAR,TOUBACOUTA,5,No
GRAND DAKAR,DJILOR,6,No
GRAND DAKAR,SAKAL,2,No
GRAND DAKAR,MEUR MOMAR SARR,0,No
GRAND DAKAR,MBEDIENE,5,No
GRAND DAKAR,COKI,1,No
GRAND DAKAR,SAGATTA GUETH I,1,No
GRAND DAKAR,SAGATTA GUETH II,2,No
GRAND DAKAR,DAROU MOUSTY,5,No
GRAND DAKAR,SAGATTA DJOLOF,2,No
GRAND DAKAR,YANG YANG,0,No
GRAND DAKAR,DODJI,0,No
GRAND DAKAR,BARKEDJI,1,No
GRAND DAKAR,MBADAKHOUNE,1,No
GRAND DAKAR,NGUELOU,2,No
GRAND DAKAR,NGOTHIE,3,No
GRAND DAKAR,KOUMBAL,10,No
GRAND DAKAR,NDIEDIENG,1,No
GRAND DAKAR,PAOS KOTO,6,No
GRAND DAKAR,WACK NGOUNA,3,No
GRAND DAKAR,MEDINA SABAKH,3,No
GRAND DAKAR,GNIBY,1,No
GRAND DAKAR,DAROU MINAME II,0,No
GRAND DAKAR,KATAKELKEUR MBOUCKI,0,No
GRAND DAKAR,KEUR MBOUCKI,0,No
GRAND DAKAR,SAGNA,0,No
GRAND DAKAR,IDA MOURIDE,1,No
GRAND DAKAR,MISSIRAH WADENE,0,No
GRAND DAKAR,LOUR ESCALE,0,No
GRAND DAKAR,MABO,0,No
GRAND DAKAR,MBANE,2,No
GRAND DAKAR,SALDE,1,No
GRAND DAKAR,NDIAYE MBERESS,6,No
GRAND DAKAR,GAMADJI SARRE,2,No
GRAND DAKAR,CAS CAS,1,No
GRAND DAKAR,RAO,18,No
GRAND DAKAR,THILE BOUBACAR,0,No
GRAND DAKAR,FAFACOUROU,0,No
GRAND DAKAR,MAMPATIM,0,No
GRAND DAKAR,NDORNA,1,No
GRAND DAKAR,BONCONTO,1,No
GRAND DAKAR,NIAMING,0,No
GRAND DAKAR,DIOULACOLON,0,No
GRAND DAKAR,SARE COLY SALE,1,No
GRAND DAKAR,PAKOUR,0,No
GRAND DAKAR,SARE BIDJI,4,No
GRAND DAKAR,DJIBANAR,3,No
GRAND DAKAR,DJIREDJI,2,No
GRAND DAKAR,DIAROUME,0,No
GRAND DAKAR,BONA,1,No
GRAND DAKAR,KARANTABA,0,No
GRAND DAKAR,DIENDE,3,No
GRAND DAKAR,BOGHAL,0,No
GRAND DAKAR,SIMBANDI BRASSOU,0,No
GRAND DAKAR,DJIBABOUYA,1,No
GRAND DAKAR,CABROUSSE,0,No
GRAND DAKAR,LOUDIA OUOLOF,0,No
GRAND DAKAR,SINDIAN,2,No
GRAND DAKAR,TENGHORY,3,No
GRAND DAKAR,KATABA I,5,No
GRAND DAKAR,TENDOUCK,2,No
GRAND DAKAR,NYASSIA,0,No
GRAND DAKAR,NIAGUIS,6,No
GRAND DAKAR,BANDAFASSI,0,No
GRAND DAKAR,BEMBOU,1,No
GRAND DAKAR,DAKATELY,0,No
GRAND DAKAR,DAR SALAM,0,No
GRAND DAKAR,FONGOLIMBI,0,No
GRAND DAKAR,SABODALA,1,No
GRAND DAKAR,KOUSSANAR,1,No
GRAND DAKAR,MISSIRAH,0,No
GRAND DAKAR,MAKACOULIBANTANG,1,No
GRAND DAKAR,KOUTHIABA OUOLOF,0,No
GRAND DAKAR,BAMBA NDIAYENE,3,No
GRAND DAKAR,KOULOR,0,No
GRAND DAKAR,DIANKE MAKHA,0,No
GRAND DAKAR,BALA,0,No
GRAND DAKAR,BOYNGUEL BAMBA,0,No
GRAND DAKAR,MOUDERY,3,No
GRAND DAKAR,KENIEBA,0,No
GRAND DAKAR,BELE,3,No
GRAND DAKAR,OGO,5,No
GRAND DAKAR,AGNAM CIVOL,5,No
GRAND DAKAR,VELINGARA,0,No
GRAND DAKAR,ORKADIERE,7,No
GRAND DAKAR,OURO SIDY,4,No
DAKAR PLATEAU,PARCELLES ASSAINIES,215,No
DAKAR PLATEAU,ALMADIES,186,No
DAKAR PLATEAU,GRAND DAKAR,374,No
DAKAR PLATEAU,GUEDIAWAYE,137,No
DAKAR PLATEAU,PIKINE DAGOUDANE,94,No
DAKAR PLATEAU,THIAROYE,93,No
DAKAR PLATEAU,NIAYES,109,No
DAKAR PLATEAU,RUFISQUE,38,No
DAKAR PLATEAU,BAMBILOR,44,No
DAKAR PLATEAU,KEUR MOUSSA,10,No
DAKAR PLATEAU,SINDIA,24,No
DAKAR PLATEAU,NOTTO,2,No
DAKAR PLATEAU,THIENABA,9,No
DAKAR PLATEAU,PAMBAL,10,No
DAKAR PLATEAU,MEOUANE,8,No
DAKAR PLATEAU,MERINA DAKHAR,0,No
DAKAR PLATEAU,NIAKHENE,0,No
DAKAR PLATEAU,THIES SUD,18,No
DAKAR PLATEAU,THIES NORD,4,No
DAKAR PLATEAU,FISSEL,0,No
DAKAR PLATEAU,SESSENE,1,No
DAKAR PLATEAU,TAIF,1,No
DAKAR PLATEAU,KAEL,0,No
DAKAR PLATEAU,NDAME,54,No
DAKAR PLATEAU,NDOULO,8,No
DAKAR PLATEAU,NDINDY,2,No
DAKAR PLATEAU,NGOYE,3,No
DAKAR PLATEAU,LAMBAYE,3,No
DAKAR PLATEAU,BABA GARAGE,0,No
DAKAR PLATEAU,COLOBANE,0,No
DAKAR PLATEAU,NIAKHAR,0,No
DAKAR PLATEAU,TATTAGUINE,9,No
DAKAR PLATEAU,OUADIOUR,2,No
DAKAR PLATEAU,NDIOB,1,No
DAKAR PLATEAU,FIMELA,3,No
DAKAR PLATEAU,NIODIOR,0,No
DAKAR PLATEAU,TOUBACOUTA,2,No
DAKAR PLATEAU,DJILOR,5,No
DAKAR PLATEAU,SAKAL,1,No
DAKAR PLATEAU,MEUR MOMAR SARR,0,No
DAKAR PLATEAU,MBEDIENE,3,No
DAKAR PLATEAU,COKI,2,No
DAKAR PLATEAU,SAGATTA GUETH I,5,No
DAKAR PLATEAU,SAGATTA GUETH II,1,No
DAKAR PLATEAU,DAROU MOUSTY,4,No
DAKAR PLATEAU,SAGATTA DJOLOF,0,No
DAKAR PLATEAU,YANG YANG,0,No
DAKAR PLATEAU,DODJI,1,No
DAKAR PLATEAU,BARKEDJI,1,No
DAKAR PLATEAU,MBADAKHOUNE,0,No
DAKAR PLATEAU,NGUELOU,1,No
DAKAR PLATEAU,NGOTHIE,0,No
DAKAR PLATEAU,KOUMBAL,18,No
DAKAR PLATEAU,NDIEDIENG,3,No
DAKAR PLATEAU,PAOS KOTO,2,No
DAKAR PLATEAU,WACK NGOUNA,3,No
DAKAR PLATEAU,MEDINA SABAKH,1,No
DAKAR PLATEAU,GNIBY,2,No
DAKAR PLATEAU,DAROU MINAME II,0,No
DAKAR PLATEAU,KATAKELKEUR MBOUCKI,2,No
DAKAR PLATEAU,KEUR MBOUCKI,1,No
DAKAR PLATEAU,SAGNA,0,No
DAKAR PLATEAU,IDA MOURIDE,2,No
DAKAR PLATEAU,MISSIRAH WADENE,0,No
DAKAR PLATEAU,LOUR ESCALE,0,No
DAKAR PLATEAU,MABO,2,No
DAKAR PLATEAU,MBANE,2,No
DAKAR PLATEAU,SALDE,0,No
DAKAR PLATEAU,NDIAYE MBERESS,5,No
DAKAR PLATEAU,GAMADJI SARRE,4,No
DAKAR PLATEAU,CAS CAS,1,No
DAKAR PLATEAU,RAO,15,No
DAKAR PLATEAU,THILE BOUBACAR,1,No
DAKAR PLATEAU,FAFACOUROU,0,No
DAKAR PLATEAU,MAMPATIM,0,No
DAKAR PLATEAU,NDORNA,0,No
DAKAR PLATEAU,BONCONTO,0,No
DAKAR PLATEAU,NIAMING,1,No
DAKAR PLATEAU,DIOULACOLON,0,No
DAKAR PLATEAU,SARE COLY SALE,2,No
DAKAR PLATEAU,PAKOUR,0,No
DAKAR PLATEAU,SARE BIDJI,6,No
DAKAR PLATEAU,DJIBANAR,1,No
DAKAR PLATEAU,DJIREDJI,0,No
DAKAR PLATEAU,DIAROUME,0,No
DAKAR PLATEAU,BONA,0,No
DAKAR PLATEAU,KARANTABA,0,No
DAKAR PLATEAU,DIENDE,0,No
DAKAR PLATEAU,BOGHAL,0,No
DAKAR PLATEAU,SIMBANDI BRASSOU,0,No
DAKAR PLATEAU,DJIBABOUYA,2,No
DAKAR PLATEAU,CABROUSSE,0,No
DAKAR PLATEAU,LOUDIA OUOLOF,0,No
DAKAR PLATEAU,SINDIAN,1,No
DAKAR PLATEAU,TENGHORY,5,No
DAKAR PLATEAU,KATABA I,1,No
DAKAR PLATEAU,TENDOUCK,0,No
DAKAR PLATEAU,NYASSIA,0,No
DAKAR PLATEAU,NIAGUIS,10,No
DAKAR PLATEAU,BANDAFASSI,1,No
DAKAR PLATEAU,BEMBOU,0,No
DAKAR PLATEAU,DAKATELY,0,No
DAKAR PLATEAU,DAR SALAM,1,No
DAKAR PLATEAU,FONGOLIMBI,0,No
DAKAR PLATEAU,SABODALA,1,No
DAKAR PLATEAU,KOUSSANAR,1,No
DAKAR PLATEAU,MISSIRAH,0,No
DAKAR PLATEAU,MAKACOULIBANTANG,0,No
DAKAR PLATEAU,KOUTHIABA OUOLOF,0,No
DAKAR PLATEAU,BAMBA NDIAYENE,0,No
DAKAR PLATEAU,KOULOR,0,No
DAKAR PLATEAU,DIANKE MAKHA,0,No
DAKAR PLATEAU,BALA,1,No
DAKAR PLATEAU,BOYNGUEL BAMBA,0,No
DAKAR PLATEAU,MOUDERY,6,No
DAKAR PLATEAU,KENIEBA,0,No
DAKAR PLATEAU,BELE,1,No
DAKAR PLATEAU,OGO,7,No
DAKAR PLATEAU,AGNAM CIVOL,2,No
DAKAR PLATEAU,VELINGARA,1,No
DAKAR PLATEAU,ORKADIERE,7,No
DAKAR PLATEAU,OURO SIDY,4,No
GUEDIAWAYE,PARCELLES ASSAINIES,134,No
GUEDIAWAYE,ALMADIES,36,No
GUEDIAWAYE,GRAND DAKAR,72,No
GUEDIAWAYE,DAKAR PLATEAU,100,No
GUEDIAWAYE,PIKINE DAGOUDANE,76,No
GUEDIAWAYE,THIAROYE,19,No
GUEDIAWAYE,NIAYES,37,No
GUEDIAWAYE,RUFISQUE,8,No
GUEDIAWAYE,BAMBILOR,11,No
GUEDIAWAYE,KEUR MOUSSA,0,No
GUEDIAWAYE,SINDIA,7,No
GUEDIAWAYE,NOTTO,0,No
GUEDIAWAYE,THIENABA,5,No
GUEDIAWAYE,PAMBAL,5,No
GUEDIAWAYE,MEOUANE,3,No
GUEDIAWAYE,MERINA DAKHAR,0,No
GUEDIAWAYE,NIAKHENE,2,No
GUEDIAWAYE,THIES SUD,6,No
GUEDIAWAYE,THIES NORD,0,No
GUEDIAWAYE,FISSEL,3,No
GUEDIAWAYE,SESSENE,1,No
GUEDIAWAYE,TAIF,1,No
GUEDIAWAYE,KAEL,0,No
GUEDIAWAYE,NDAME,41,No
GUEDIAWAYE,NDOULO,3,No
GUEDIAWAYE,NDINDY,1,No
GUEDIAWAYE,NGOYE,2,No
GUEDIAWAYE,LAMBAYE,2,No
GUEDIAWAYE,BABA GARAGE,0,No
GUEDIAWAYE,COLOBANE,0,No
GUEDIAWAYE,NIAKHAR,0,No
GUEDIAWAYE,TATTAGUINE,3,No
GUEDIAWAYE,OUADIOUR,2,No
GUEDIAWAYE,NDIOB,3,No
GUEDIAWAYE,FIMELA,1,No
GUEDIAWAYE,NIODIOR,0,No
GUEDIAWAYE,TOUBACOUTA,4,No
GUEDIAWAYE,DJILOR,0,No
GUEDIAWAYE,SAKAL,2,No
GUEDIAWAYE,MEUR MOMAR SARR,0,No
GUEDIAWAYE,MBEDIENE,1,No
GUEDIAWAYE,COKI,2,No
GUEDIAWAYE,SAGATTA GUETH I,2,No
GUEDIAWAYE,SAGATTA GUETH II,2,No
GUEDIAWAYE,DAROU MOUSTY,4,No
GUEDIAWAYE,SAGATTA DJOLOF,0,No
GUEDIAWAYE,YANG YANG,0,No
GUEDIAWAYE,DODJI,3,No
GUEDIAWAYE,BARKEDJI,0,No
GUEDIAWAYE,MBADAKHOUNE,0,No
GUEDIAWAYE,NGUELOU,1,No
GUEDIAWAYE,NGOTHIE,2,No
GUEDIAWAYE,KOUMBAL,8,No
GUEDIAWAYE,NDIEDIENG,0,No
GUEDIAWAYE,PAOS KOTO,3,No
GUEDIAWAYE,WACK NGOUNA,2,No
GUEDIAWAYE,MEDINA SABAKH,1,No
GUEDIAWAYE,GNIBY,1,No
GUEDIAWAYE,DAROU MINAME II,0,No
GUEDIAWAYE,KATAKELKEUR MBOUCKI,2,No
GUEDIAWAYE,KEUR MBOUCKI,1,No
GUEDIAWAYE,SAGNA,0,No
GUEDIAWAYE,IDA MOURIDE,1,No
GUEDIAWAYE,MISSIRAH WADENE,0,No
GUEDIAWAYE,LOUR ESCALE,0,No
GUEDIAWAYE,MABO,1,No
GUEDIAWAYE,MBANE,3,No
GUEDIAWAYE,SALDE,2,No
GUEDIAWAYE,NDIAYE MBERESS,3,No
GUEDIAWAYE,GAMADJI SARRE,2,No
GUEDIAWAYE,CAS CAS,4,No
GUEDIAWAYE,RAO,6,No
GUEDIAWAYE,THILE BOUBACAR,0,No
GUEDIAWAYE,FAFACOUROU,0,No
GUEDIAWAYE,MAMPATIM,0,No
GUEDIAWAYE,NDORNA,0,No
GUEDIAWAYE,BONCONTO,1,No
GUEDIAWAYE,NIAMING,0,No
GUEDIAWAYE,DIOULACOLON,0,No
GUEDIAWAYE,SARE COLY SALE,0,No
GUEDIAWAYE,PAKOUR,0,No
GUEDIAWAYE,SARE BIDJI,3,No
GUEDIAWAYE,DJIBANAR,1,No
GUEDIAWAYE,DJIREDJI,2,No
GUEDIAWAYE,DIAROUME,0,No
GUEDIAWAYE,BONA,2,No
GUEDIAWAYE,KARANTABA,0,No
GUEDIAWAYE,DIENDE,4,No
GUEDIAWAYE,BOGHAL,1,No
GUEDIAWAYE,SIMBANDI BRASSOU,0,No
GUEDIAWAYE,DJIBABOUYA,1,No
GUEDIAWAYE,CABROUSSE,0,No
GUEDIAWAYE,LOUDIA OUOLOF,1,No
GUEDIAWAYE,SINDIAN,2,No
GUEDIAWAYE,TENGHORY,5,No
GUEDIAWAYE,KATABA I,1,No
GUEDIAWAYE,TENDOUCK,2,No
GUEDIAWAYE,NYASSIA,1,No
GUEDIAWAYE,NIAGUIS,11,No
GUEDIAWAYE,BANDAFASSI,1,No
GUEDIAWAYE,BEMBOU,0,No
GUEDIAWAYE,DAKATELY,0,No
GUEDIAWAYE,DAR SALAM,0,No
GUEDIAWAYE,FONGOLIMBI,0,No
GUEDIAWAYE,SABODALA,1,No
GUEDIAWAYE,KOUSSANAR,5,No
GUEDIAWAYE,MISSIRAH,0,No
GUEDIAWAYE,MAKACOULIBANTANG,1,No
GUEDIAWAYE,KOUTHIABA OUOLOF,0,No
GUEDIAWAYE,BAMBA NDIAYENE,0,No
GUEDIAWAYE,KOULOR,0,No
GUEDIAWAYE,DIANKE MAKHA,0,No
GUEDIAWAYE,BALA,1,No
GUEDIAWAYE,BOYNGUEL BAMBA,1,No
GUEDIAWAYE,MOUDERY,4,No
GUEDIAWAYE,KENIEBA,0,No
GUEDIAWAYE,BELE,0,No
GUEDIAWAYE,OGO,6,No
