from,to,count,
DAKAR PLATEAU,THIENABA,29,Yes
DAKAR PLATEAU,THIES SUD,18,Yes
DAKAR PLATEAU,THIES NORD,12,Yes
DAKAR PLATEAU,NDAME,11,Yes
DAKAR PLATEAU,NGOYE,11,Yes
DAKAR PLATEAU,KOUMBAL,17,Yes
DAKAR PLATEAU,RAO,15,Yes
DAKAR PLATEAU,NIAGUIS,21,Yes
DAKAR PLATEAU,OGO,11,Yes
GUEDIAWAYE,PARCELLES ASSAINIES,110,Yes
GUEDIAWAYE,ALMADIES,47,Yes
GUEDIAWAYE,GRAND DAKAR,138,Yes
GUEDIAWAYE,DAKAR PLATEAU,106,Yes
GUEDIAWAYE,PIKINE DAGOUDANE,88,Yes
GUEDIAWAYE,THIAROYE,20,Yes
GUEDIAWAYE,NIAYES,66,Yes
GUEDIAWAYE,BAMBILOR,17,Yes
GUEDIAWAYE,SINDIA,135,Yes
GUEDIAWAYE,NDAME,21,Yes
GUEDIAWAYE,KOUMBAL,12,Yes
GUEDIAWAYE,RAO,19,Yes
GUEDIAWAYE,NIAGUIS,17,Yes
GUEDIAWAYE,KOUSSANAR,10,Yes
GUEDIAWAYE,OGO,12,Yes
PIKINE DAGOUDANE,PARCELLES ASSAINIES,38,Yes
PIKINE DAGOUDANE,ALMADIES,37,Yes
PIKINE DAGOUDANE,GRAND DAKAR,148,Yes
PIKINE DAGOUDANE,DAKAR PLATEAU,103,Yes
PIKINE DAGOUDANE,GUEDIAWAYE,76,Yes
PIKINE DAGOUDANE,THIAROYE,109,Yes
PIKINE DAGOUDANE,NIAYES,73,Yes
PIKINE DAGOUDANE,RUFISQUE,11,Yes
PIKINE DAGOUDANE,BAMBILOR,20,Yes
PIKINE DAGOUDANE,SINDIA,23,Yes
PIKINE DAGOUDANE,NDAME,15,Yes
PIKINE DAGOUDANE,KOUMBAL,13,Yes
PIKINE DAGOUDANE,OGO,15,Yes
PIKINE DAGOUDANE,ORKADIERE,10,Yes
THIAROYE,PARCELLES ASSAINIES,41,Yes
THIAROYE,ALMADIES,46,Yes
THIAROYE,GRAND DAKAR,81,Yes
THIAROYE,DAKAR PLATEAU,118,Yes
THIAROYE,GUEDIAWAYE,21,Yes
THIAROYE,PIKINE DAGOUDANE,101,Yes
THIAROYE,NIAYES,64,Yes
THIAROYE,RUFISQUE,30,Yes
THIAROYE,BAMBILOR,33,Yes
THIAROYE,SINDIA,21,Yes
THIAROYE,NDAME,16,Yes
THIAROYE,NIODIOR,12,Yes
THIAROYE,KOUMBAL,22,Yes
THIAROYE,RAO,13,Yes
THIAROYE,DJIBANAR,10,Yes
THIAROYE,TENGHORY,16,Yes
THIAROYE,NIAGUIS,20,Yes
NIAYES,PARCELLES ASSAINIES,50,Yes
NIAYES,ALMADIES,45,Yes
NIAYES,GRAND DAKAR,85,Yes
NIAYES,DAKAR PLATEAU,109,Yes
NIAYES,GUEDIAWAYE,51,Yes
NIAYES,PIKINE DAGOUDANE,64,Yes
NIAYES,THIAROYE,107,Yes
NIAYES,RUFISQUE,10,Yes
NIAYES,BAMBILOR,52,Yes
NIAYES,SINDIA,21,Yes
NIAYES,MEOUANE,11,Yes
NIAYES,THIES SUD,11,Yes
NIAYES,KOUMBAL,11,Yes
NIAYES,RAO,15,Yes
NIAYES,TENGHORY,17,Yes
NIAYES,NIAGUIS,18,Yes
RUFISQUE,PARCELLES ASSAINIES,20,Yes
RUFISQUE,ALMADIES,23,Yes
RUFISQUE,GRAND DAKAR,29,Yes
RUFISQUE,DAKAR PLATEAU,48,Yes
RUFISQUE,THIAROYE,43,Yes
RUFISQUE,NIAYES,10,Yes
RUFISQUE,BAMBILOR,31,Yes
RUFISQUE,SINDIA,11,Yes
RUFISQUE,NIAGUIS,10,Yes
BAMBILOR,PARCELLES ASSAINIES,25,Yes
BAMBILOR,ALMADIES,31,Yes
BAMBILOR,GRAND DAKAR,32,Yes
BAMBILOR,DAKAR PLATEAU,69,Yes
BAMBILOR,GUEDIAWAYE,14,Yes
BAMBILOR,PIKINE DAGOUDANE,10,Yes
BAMBILOR,THIAROYE,33,Yes
BAMBILOR,NIAYES,38,Yes
BAMBILOR,RUFISQUE,21,Yes
BAMBILOR,KEUR MOUSSA,17,Yes
BAMBILOR,SINDIA,20,Yes
SINDIA,PARCELLES ASSAINIES,34,Yes
SINDIA,ALMADIES,21,Yes
SINDIA,GRAND DAKAR,38,Yes
SINDIA,DAKAR PLATEAU,34,Yes
SINDIA,GUEDIAWAYE,19,Yes
SINDIA,PIKINE DAGOUDANE,18,Yes
SINDIA,THIAROYE,16,Yes
SINDIA,NIAYES,13,Yes
SINDIA,RUFISQUE,14,Yes
SINDIA,BAMBILOR,23,Yes
SINDIA,THIES SUD,23,Yes
SINDIA,SESSENE,42,Yes
SINDIA,TATTAGUINE,14,Yes
SINDIA,NIODIOR,16,Yes
SINDIA,KOUMBAL,12,Yes
SINDIA,GAMADJI SARRE,10,Yes
SINDIA,NIAGUIS,13,Yes
NOTTO,THIES SUD,10,Yes
THIENABA,PARCELLES ASSAINIES,21,Yes
THIENABA,GRAND DAKAR,20,Yes
THIENABA,DAKAR PLATEAU,26,Yes
THIENABA,THIES SUD,17,Yes
PAMBAL,PARCELLES ASSAINIES,15,Yes
PAMBAL,ALMADIES,13,Yes
PAMBAL,GRAND DAKAR,21,Yes
PAMBAL,GUEDIAWAYE,12,Yes
PAMBAL,MEOUANE,15,Yes
PAMBAL,THIES NORD,13,Yes
MEOUANE,ALMADIES,13,Yes
MEOUANE,GRAND DAKAR,10,Yes
MEOUANE,DAKAR PLATEAU,10,Yes
MEOUANE,NIAYES,10,Yes
MEOUANE,PAMBAL,14,Yes
MEOUANE,THIES SUD,11,Yes
MEOUANE,THIES NORD,11,Yes
MEOUANE,SESSENE,10,Yes
THIES SUD,PARCELLES ASSAINIES,35,Yes
THIES SUD,ALMADIES,16,Yes
THIES SUD,GRAND DAKAR,31,Yes
THIES SUD,DAKAR PLATEAU,38,Yes
THIES SUD,PIKINE DAGOUDANE,10,Yes
THIES SUD,THIAROYE,12,Yes
THIES SUD,SINDIA,23,Yes
THIES SUD,NOTTO,12,Yes
THIES SUD,THIENABA,18,Yes
THIES SUD,PAMBAL,17,Yes
THIES SUD,THIES NORD,72,Yes
THIES SUD,RAO,13,Yes
THIES NORD,PARCELLES ASSAINIES,11,Yes
THIES NORD,THIES SUD,91,Yes
SESSENE,PARCELLES ASSAINIES,13,Yes
SESSENE,SINDIA,26,Yes
SESSENE,NIODIOR,10,Yes
NDAME,PARCELLES ASSAINIES,39,Yes
NDAME,ALMADIES,24,Yes
NDAME,GRAND DAKAR,36,Yes
NDAME,DAKAR PLATEAU,34,Yes
NDAME,GUEDIAWAYE,31,Yes
NDAME,PIKINE DAGOUDANE,32,Yes
NDAME,THIAROYE,16,Yes
NDAME,NIAYES,17,Yes
NDAME,RUFISQUE,14,Yes
NDAME,SINDIA,17,Yes
NDAME,DAROU MOUSTY,13,Yes
NDAME,BARKEDJI,10,Yes
NDAME,KOUMBAL,28,Yes
NDOULO,PARCELLES ASSAINIES,14,Yes
NDOULO,ALMADIES,10,Yes
NDOULO,GRAND DAKAR,13,Yes
NDOULO,DAKAR PLATEAU,28,Yes
NDOULO,NDAME,20,Yes
NDOULO,NGOYE,11,Yes
NGOYE,GRAND DAKAR,15,Yes
NIAKHAR,GRAND DAKAR,20,Yes
TATTAGUINE,PARCELLES ASSAINIES,12,Yes
TATTAGUINE,ALMADIES,11,Yes
TATTAGUINE,DAKAR PLATEAU,12,Yes
NDIOB,GRAND DAKAR,12,Yes
FIMELA,PARCELLES ASSAINIES,14,Yes
FIMELA,SESSENE,14,Yes
TOUBACOUTA,PARCELLES ASSAINIES,13,Yes
TOUBACOUTA,DAKAR PLATEAU,10,Yes
TOUBACOUTA,THIAROYE,10,Yes
MEUR MOMAR SARR,MBEDIENE,11,Yes
MBEDIENE,PARCELLES ASSAINIES,11,Yes
MBEDIENE,GRAND DAKAR,11,Yes
MBEDIENE,THIAROYE,15,Yes
MBEDIENE,NIAYES,12,Yes
MBEDIENE,RAO,12,Yes
DAROU MOUSTY,NDAME,11,Yes
SAGATTA DJOLOF,YANG YANG,13,Yes
SAGATTA DJOLOF,BARKEDJI,11,Yes
YANG YANG,SAGATTA DJOLOF,11,Yes
DODJI,GAMADJI SARRE,11,Yes
DODJI,VELINGARA,11,Yes
NGOTHIE,PARCELLES ASSAINIES,14,Yes
NGOTHIE,KOUMBAL,19,Yes
KOUMBAL,PARCELLES ASSAINIES,59,Yes
KOUMBAL,ALMADIES,22,Yes
KOUMBAL,GRAND DAKAR,30,Yes
KOUMBAL,DAKAR PLATEAU,38,Yes
KOUMBAL,GUEDIAWAYE,23,Yes
KOUMBAL,PIKINE DAGOUDANE,11,Yes
KOUMBAL,THIAROYE,18,Yes
KOUMBAL,NIAYES,18,Yes
KOUMBAL,SINDIA,13,Yes
KOUMBAL,NDAME,16,Yes
KOUMBAL,MBADAKHOUNE,11,Yes
KOUMBAL,NGOTHIE,11,Yes
KOUMBAL,NDIEDIENG,14,Yes
KOUMBAL,PAOS KOTO,24,Yes
KOUMBAL,WACK NGOUNA,21,Yes
KOUMBAL,GNIBY,13,Yes
KOUMBAL,NIAGUIS,15,Yes
NDIEDIENG,KOUMBAL,10,Yes
WACK NGOUNA,KOUMBAL,11,Yes
MEDINA SABAKH,PARCELLES ASSAINIES,13,Yes
GNIBY,KATAKELKEUR MBOUCKI,10,Yes
IDA MOURIDE,LOUR ESCALE,14,Yes
MBANE,NDIAYE MBERESS,28,Yes
NDIAYE MBERESS,PARCELLES ASSAINIES,12,Yes
NDIAYE MBERESS,DAKAR PLATEAU,14,Yes
NDIAYE MBERESS,THIAROYE,13,Yes
NDIAYE MBERESS,MBANE,25,Yes
NDIAYE MBERESS,RAO,33,Yes
NDIAYE MBERESS,THILE BOUBACAR,10,Yes
GAMADJI SARRE,PARCELLES ASSAINIES,10,Yes
GAMADJI SARRE,NDIAYE MBERESS,16,Yes
GAMADJI SARRE,CAS CAS,10,Yes
GAMADJI SARRE,THILE BOUBACAR,19,Yes
GAMADJI SARRE,VELINGARA,12,Yes
CAS CAS,GAMADJI SARRE,15,Yes
RAO,PARCELLES ASSAINIES,37,Yes
RAO,ALMADIES,23,Yes
RAO,GRAND DAKAR,33,Yes
RAO,DAKAR PLATEAU,39,Yes
RAO,GUEDIAWAYE,17,Yes
RAO,PIKINE DAGOUDANE,13,Yes
RAO,NIAYES,13,Yes
RAO,THIES SUD,10,Yes
RAO,MBANE,13,Yes
RAO,NDIAYE MBERESS,51,Yes
RAO,GAMADJI SARRE,12,Yes
RAO,OGO,13,Yes
THILE BOUBACAR,MBANE,10,Yes
MAMPATIM,SARE BIDJI,11,Yes
SARE BIDJI,PARCELLES ASSAINIES,11,Yes
SARE BIDJI,GRAND DAKAR,10,Yes
SARE BIDJI,MAMPATIM,12,Yes
SARE BIDJI,NIAMING,12,Yes
SARE BIDJI,DIOULACOLON,11,Yes
SARE BIDJI,SARE COLY SALE,16,Yes
DJIBANAR,DIENDE,11,Yes
DJIBANAR,NIAGUIS,28,Yes
DIENDE,PARCELLES ASSAINIES,15,Yes
LOUDIA OUOLOF,NIAGUIS,11,Yes
TENGHORY,PARCELLES ASSAINIES,19,Yes
TENGHORY,GUEDIAWAYE,10,Yes
TENGHORY,THIAROYE,10,Yes
TENGHORY,NIAYES,11,Yes
TENGHORY,SINDIAN,23,Yes
TENGHORY,KATABA I,13,Yes
TENGHORY,TENDOUCK,11,Yes
TENGHORY,NIAGUIS,22,Yes
KATABA I,NIAGUIS,12,Yes
TENDOUCK,NIAGUIS,16,Yes
NYASSIA,NIAGUIS,15,Yes
NIAGUIS,PARCELLES ASSAINIES,31,Yes
NIAGUIS,ALMADIES,13,Yes
NIAGUIS,GRAND DAKAR,19,Yes
NIAGUIS,DAKAR PLATEAU,19,Yes
NIAGUIS,THIAROYE,10,Yes
NIAGUIS,NIAYES,12,Yes
NIAGUIS,SINDIA,11,Yes
NIAGUIS,SARE BIDJI,12,Yes
NIAGUIS,DJIBANAR,14,Yes
NIAGUIS,DJIBABOUYA,12,Yes
NIAGUIS,CABROUSSE,21,Yes
NIAGUIS,LOUDIA OUOLOF,21,Yes
NIAGUIS,TENGHORY,22,Yes
NIAGUIS,KATABA I,18,Yes
NIAGUIS,TENDOUCK,14,Yes
BANDAFASSI,SABODALA,10,Yes
KOUSSANAR,PARCELLES ASSAINIES,11,Yes
KOUSSANAR,GRAND DAKAR,11,Yes
KOUSSANAR,DAKAR PLATEAU,11,Yes
KOUSSANAR,BANDAFASSI,23,Yes
KOUSSANAR,SABODALA,10,Yes
KOUSSANAR,MISSIRAH,15,Yes
KOUSSANAR,DIANKE MAKHA,10,Yes
KOUSSANAR,BOYNGUEL BAMBA,13,Yes
KOUSSANAR,MOUDERY,11,Yes
MISSIRAH,KOUSSANAR,19,Yes
MOUDERY,PARCELLES ASSAINIES,17,Yes
MOUDERY,DAKAR PLATEAU,22,Yes
MOUDERY,ORKADIERE,13,Yes
OGO,GRAND DAKAR,11,Yes
OGO,DAKAR PLATEAU,10,Yes
OGO,GUEDIAWAYE,11,Yes
OGO,AGNAM CIVOL,24,Yes
OGO,ORKADIERE,21,Yes
OGO,OURO SIDY,13,Yes
AGNAM CIVOL,GUEDIAWAYE,10,Yes
AGNAM CIVOL,OGO,12,Yes
ORKADIERE,PARCELLES ASSAINIES,14,Yes
ORKADIERE,GRAND DAKAR,16,Yes
ORKADIERE,GUEDIAWAYE,14,Yes
ORKADIERE,PIKINE DAGOUDANE,14,Yes
ORKADIERE,MOUDERY,10,Yes
ORKADIERE,OGO,19,Yes
ORKADIERE,OURO SIDY,10,Yes
OURO SIDY,OGO,13,Yes
OURO SIDY,ORKADIERE,12,Yes
